Alterac Valley,7681,3153
Arathi Basin,8175,3379
Arathi Highlands,8019,3503
Badlands,8093,4526
Baradin Hold,6646,3732
Blackrock Depths,7717,4689
Blackrock Mountain,7717,4689
Blackrock Spire,7717,4689
Blackwing Descent,7717,4689
Blackwing Lair,7717,4689
Blasted Lands,8089,5398
Burning Steppes,7865,4750
Deadwind Pass,7905,5245
Deeprun Tram,7375,4613
Dun Morogh,7501,4294
Duskwood,7614,5255
Eastern Plaguelands,8300,2724
Elwynn Forest,7593,5029
Ghostlands,8403,2191
Gnomeregan,7367,4191
Grim Batol,8156,3983
Hillsbrad Foothills,7604,3250
Ironforge,7649,4165
Isle of Quel'Danas,8367,1241
Karazhan,7876,5328
Loch Modan,8138,4231
Magisters' Terrace,8443,1124
Molten Core,7717,4689
Northern Stranglethorn,7482,5493
Quel'thalas,8181,1549
Redridge Mountains,7979,5001
Ruins of Gilneas,7161,3553
Ruins of Lordaeron,7453,2856
Scarlet Monastery,7658,2665
Scholomance,7990,2976
Searing Gorge,7765,4528
Shadowfang Keep,7182,3249
Silvermoon City,8306,1701
Silverpine Forest,7280,3106
Stormwind City,7349,4857
Stranglethorn Vale,7462,5835
Stratholme,8141,2553
Stratholme - Main Gate,8141,2553
Stratholme - Service Entrance,8269,2612
Sunwell Plateau,8251,1209
Swamp of Sorrows,8132,5191
The Bastion of Twilight,8280,4127
The Battle for Gilneas,7291,3490
The Cape of Stranglethorn,7435,6070
The Deadmines,7215,5340
The Hinterlands,8184,3218
The Stockade,7349,4857
Tirisfal Glades,7496,2786
Tol Barad,6610,3618
Tol Barad Peninsula,6563,3515
Twilight Highlands,8564,3903
Uldaman,8110,4383
Undercity,7454,2917
Western Plaguelands,7825,2885
Westfall,7227,5245
Wetlands,7897,3888
Zul'Aman,8540,2352
Zul'Gurub,7806,5474
The Temple of Atal'Hakkar,8227,5225
Twin Peaks,8184,3903
Shimmering Expanse,6680,4507
Grizzly Hills,5855,1598
Ahn'kahet: The Old Kingdom,4594,1739
Azjol-Nerub,4594,1739
Borean Tundra,3753,1752
Crystalsong Forest,4938,1284
Dalaran,4827,1194
Dalaran Arena,4827,1194
Dragonblight,4791,1718
Drak'Tharon Keep,5491,1558
Gundrak,5956,1031
Halls of Lightning,5274,508
Halls of Reflection,5274,508
Halls of Stone,5274,508
Howling Fjord,6162,2344
Hrothgar's Landing,4758,158
Icecrown,4536,872
Icecrown Citadel,4419,1099
Isle of Conquest,3821,805
Naxxramas,5192,1552
Pit of Saron,4419,1099
Sholazar Basin,3854,1213
The Forge of Souls,4419,1099
The Nexus,3318,1580
The Obsidian Sanctum,4911,1614
The Oculus,3318,1580
The Ruby Sanctum,4914,1614
The Storm Peaks,5272,783
The Violet Hold,4827,1194
Trial of the Champion,4997,659
Trial of the Crusader,4997,659
Ulduar,5274,508
Utgarde Keep,6154,2211
Utgarde Pinnacle,6154,2211
Vault of Archavon,4305,1350
Wintergrasp,4305,1350
Zul'Drak,5613,1241
Strand of the Ancients,4893,2007
Abyssal Depths,6392,4412
Blackrock Caverns,4098,2756
Deepholm,4035,2792
The Maelstrom,4778,3446
The Stonecore,4098,2756
Vashj'ir,6572,4389
Kelp'thar Forest,6779,4120
Throne of the Tides,6489,4300
Well of Eternity,2310,5313
The Vortex Pinnacle,1872,5918
Halls of Origination,1804,5678
Darkshore,1404,2692
Hyjal Summit,1913,3038
Hour of Twilight,2310,5313
Ahn'Qiraj,1130,5548
Ahn'Qiraj: The Fallen Kingdom,1130,5548
Ashenvale,1683,3461
Azshara,2388,3365
Azuremyst Isle,605,2790
Blackfathom Deeps,1315,3183
Bloodmyst Isle,479,2498
Darnassus,1050,2186
Desolace,1119,4106
Dire Maul,1258,4610
Dragon Soul,2310,5313
Durotar,2409,3835
Dustwallow Marsh,2009,4568
End Time,1130,5548
Eversong Woods,8364,1909
Felwood,1612,2957
Feralas,1111,4685
Firelands,1973,3222
Lost City of the Tol'vir,1723,5834
Maraudon,957,4148
Molten Front,1973,3222
Moonglade,1905,2568
Mount Hyjal,1913,3038
Mulgore,1560,4229
Northern Barrens,1941,3878
Old Hillsbrad Foothills,2310,5313
Onyxia's Lair,2127,4733
Orgrimmar,2230,3636
Ragefire Chasm,2230,3636
Razorfen Downs,1905,4742
Razorfen Kraul,1731,4669
Ruins of Ahn'Qiraj,1208,5323
Silithus,1278,5175
Southern Barrens,1798,4418
Stonetalon Mountains,1338,3664
Tanaris,2083,5317
Teldrassil,1287,2318
The Black Morass,2310,5313
The Culling of Stratholme,2310,5313
The Exodar,329,2869
Thousand Needles,1855,4857
Throne of the Four Winds,1432,5892
Thunder Bluff,1473,4147
Uldum,1629,5602
Un'Goro Crater,1752,5142
Wailing Caverns,1846,4048
Warsong Gulch,1844,3742
Winterspring,2193,2706
Zul'Farrak,1985,5082
The Ring of Valor,2230,3636
